77250
1 2 3
1 2 4
1 3 4
2 4 5
2 5 7
2 3 7
3 4 6
3 6 8
3 7 8
4 5 9
4 6 11
5 7 10
5 9 10
4 9 11
6 8 12
6 11 12
7 8 13
7 10 13
8 12 14
8 13 14
9 10 17
9 11 16
11 12 15
9 16 17
11 15 18
11 16 18
12 14 19
12 15 19
10 13 21
10 17 21
13 14 20
16 17 22
13 20 21
15 18 23
15 19 23
16 18 25
17 21 24
17 22 24
18 23 26
14 20 29
14 19 29
16 22 25
18 25 26
22 25 38
22 24 38
20 21 52
19 23 45
20 29 52
19 29 45
21 24 40
21 40 52
23 26 50
23 45 50
24 38 70
24 40 70
25 38 69
25 26 79
29 52 85
25 69 79
26 50 79
38 69 103
38 70 123
50 79 100
29 45 136
40 52 143
40 70 143
38 103 123
29 85 136
45 50 135
50 100 135
45 135 136
52 85 178
52 143 178
79 100 193
69 79 188
70 123 187
70 143 187
69 103 188
79 188 193
85 136 178
100 135 218
100 193 218
103 188 199
103 123 209
143 187 221
103 199 209
135 136 245
123 187 209
135 218 245
143 178 276
136 178 304
143 221 276
188 193 286
136 245 304
193 218 317
187 209 285
193 286 317
188 199 313
178 276 315
187 221 293
187 285 293
199 209 313
178 304 315
188 286 313
218 245 369
218 317 369
221 276 330
221 293 330
209 285 313
245 304 391
245 369 391
286 313 374
285 313 351
285 293 351
304 315 412
286 317 374
276 330 394
313 374 423
293 330 403
293 351 403
313 351 424
276 315 458
276 394 458
304 391 456
317 369 468
317 374 468
304 412 456
761 789 799
761 799 804
315 412 458
739 761 789
313 423 424
330 394 462
330 403 462
369 391 493
739 760 761
760 761 804
789 799 825
789 815 845
789 825 845
799 804 850
799 825 850
850 900 935
850 905 935
825 845 900
825 850 900
804 850 905
789 796 815
739 750 789
750 789 796
845 900 930
666 680 739
666 739 760
815 845 878
351 403 461
796 815 878
845 878 930
804 866 905
760 804 866
585 604 666
585 666 680
680 739 750
878 930 952
905 935 984
900 930 998
900 935 998
796 840 878
351 424 461
666 708 760
935 984 1031
935 998 1031
674 707 720
866 905 991
674 685 720
685 718 720
674 707 714
604 666 708
585 613 680
626 656 674
626 674 688
656 674 685
930 998 1040
930 952 1040
878 952 968
565 585 604
564 565 585
564 585 613
674 688 714
750 784 796
784 796 840
680 711 750
760 827 866
905 984 991
707 720 752
707 752 757
718 720 742
708 760 827
603 626 627
603 626 663
707 714 757
626 627 656
720 752 780
720 742 780
613 680 711
587 603 618
587 603 637
984 1031 1104
603 618 627
685 718 725
626 663 688
656 685 725
711 750 784
556 565 604
556 600 604
627 656 691
600 604 708
827 866 925
603 637 663
718 742 773
618 627 671
952 1040 1055
556 564 565
656 691 725
627 671 691
587 618 629
564 576 584
564 584 613
742 780 826
374 423 530
587 623 629
587 623 637
688 714 755
600 684 708
866 925 991
556 564 576
998 1031 1123
998 1040 1123
752 757 862
618 671 677
374 468 530
752 780 817
752 817 862
714 755 757
391 456 538
718 725 773
780 817 868
780 826 868
742 773 826
671 691 723
584 613 643
618 629 677
613 643 711
840 878 938
878 938 968
556 572 600
952 968 1055
556 560 572
556 560 576
817 862 913
817 868 913
984 1104 1124
984 991 1124
1031 1104 1146
1031 1123 1146
784 840 858
391 493 582
391 538 582
369 468 544
369 493 544
913 959 978
663 688 756
637 663 730
862 913 948
868 913 959
868 924 959
560 575 576
623 637 694
826 868 924
913 948 1022
913 978 1022
403 462 514
708 797 827
840 858 938
688 755 756
559 560 563
559 560 567
575 584 628
584 612 628
1104 1146 1198
560 567 575
684 708 797
637 694 730
757 859 862
925 991 1039
924 959 1001
755 757 859
725 773 824
629 677 679
862 948 969
663 730 756
826 916 924
623 646 694
968 1055 1106
691 725 782
948 1022 1034
623 629 636
629 636 679
643 711 767
572 600 625
600 625 684
1040 1123 1185
403 461 562
403 514 562
575 576 584
559 563 571
563 571 592
959 978 1051
959 1001 1051
623 636 646
671 677 759
584 612 643
1104 1194 1198
559 567 589
978 1022 1051
560 563 572
671 723 759
711 767 784
691 723 782
571 592 608
563 572 592
572 592 625
1022 1100 1115
1022 1115 1119
559 571 589
567 575 605
1022 1034 1100
725 782 824
575 605 628
948 969 1034
677 679 741
1040 1055 1185
612 643 729
592 625 668
567 589 605
1022 1051 1119
1123 1146 1225
605 628 650
625 684 740
554 561 571
862 915 969
554 571 597
554 558 561
643 729 767
612 628 729
1115 1119 1148
1115 1148 1149
561 571 590
773 826 896
621 636 646
621 646 654
571 589 590
991 1039 1118
554 558 588
628 650 726
558 561 579
554 588 597
1104 1124 1194
859 862 915
625 668 740
991 1118 1124
462 514 553
462 525 553
561 590 610
571 597 608
677 741 759
561 579 610
755 756 846
628 726 729
590 610 620
767 784 881
784 858 881
684 740 797
1034 1100 1136
461 528 562
1146 1198 1257
1146 1225 1257
468 530 594
468 594 675
646 694 732
597 608 693
827 925 957
636 679 696
924 1001 1012
557 558 579
558 588 596
1148 1149 1166
1149 1166 1208
557 558 574
558 574 596
394 458 525
723 782 809
588 597 681
579 610 649
557 579 593
1051 1119 1147
423 424 537
394 462 525
1123 1185 1225
468 544 675
723 759 809
557 574 580
557 580 593
826 896 916
969 1034 1069
412 456 513
773 824 896
755 846 859
916 924 1012
797 827 957
1148 1166 1176
597 681 693
1001 1051 1121
592 608 668
589 590 605
1115 1149 1173
424 461 528
1119 1148 1176
1055 1171 1185
412 458 533
590 605 620
608 668 693
583 598 609
583 598 624
621 634 636
634 636 678
605 620 650
1166 1176 1234
1166 1208 1234
1100 1115 1173
1100 1136 1173
694 730 811
424 528 537
636 678 696
681 693 738
646 654 732
620 650 670
1149 1173 1208
423 530 537
1119 1147 1176
412 513 533
583 599 609
583 619 624
610 620 670
579 593 649
574 596 599
596 599 633
668 693 790
574 580 599
668 740 790
588 596 665
730 756 853
27 28 30
27 28 33
650 670 727
28 31 35
28 31 42
679 741 763
621 654 662
456 513 611
610 670 705
650 726 727
598 621 634
598 621 662
588 665 681
580 583 599
580 583 632
1194 1198 1289
925 957 1039
456 538 611
610 649 705
1051 1121 1147
679 696 763
27 30 32
30 32 36
593 644 649
598 624 634
598 609 662
1034 1136 1161
583 619 632
654 712 732
596 633 665
580 593 641
27 32 34
27 33 34
599 609 658
782 824 867
938 968 1116
1055 1106 1171
694 732 811
1124 1194 1271
458 533 573
593 641 644
34 37 41
34 39 41
654 662 712
1001 1012 1121
31 35 48
693 790 839
693 738 839
1034 1069 1161
1176 1234 1270
28 30 35
458 525 709
514 553 692
649 705 736
33 34 37
33 37 44
580 632 641
458 573 709
28 33 43
1225 1257 1323
858 938 997
1208 1234 1275
1198 1257 1307
1198 1289 1307
493 544 701
493 582 701
30 35 46
28 42 43
1185 1225 1314
31 42 51
31 48 51
599 633 658
528 537 690
530 537 697
609 662 683
30 36 46
609 658 683
32 34 39
32 39 47
968 1106 1116
528 562 706
37 41 53
915 969 983
514 562 692
513 533 606
624 634 676
530 594 697
528 690 706
619 624 676
730 811 853
634 676 678
676 678 700
513 606 611
619 632 655
41 54 55
41 54 56
537 690 798
1147 1176 1249
39 41 56
39 47 56
633 658 704
525 709 716
54 56 59
1257 1307 1341
1257 1323 1341
41 53 55
537 697 798
614 632 641
614 632 655
662 683 724
896 916 979
619 655 676
35 48 61
1136 1173 1233
35 46 61
858 881 997
741 759 847
42 51 66
33 43 49
33 44 49
