91812
0 1 2
0 2 4
0 1 3
0 3 4
1 3 5
1 2 6
1 5 6
2 4 7
3 4 9
2 6 8
2 7 8
3 5 10
3 9 10
4 7 11
4 9 11
5 6 12
5 10 15
5 12 15
6 8 14
6 12 14
7 8 13
7 13 16
9 10 17
7 11 16
8 13 14
9 11 18
9 17 18
10 15 21
10 17 21
13 14 19
12 14 20
13 16 22
13 19 22
12 15 20
11 16 23
11 18 23
14 20 24
14 19 25
14 24 25
16 22 26
16 23 26
15 20 28
15 21 28
17 18 29
19 22 30
19 25 30
17 21 27
17 27 29
24 28 31
22 26 30
20 24 28
18 23 33
18 29 33
21 27 28
24 25 34
24 31 34
27 28 36
23 26 32
23 32 33
25 30 35
25 34 35
28 31 39
27 29 41
27 36 41
26 32 38
26 30 37
26 37 38
30 35 37
32 33 42
32 38 42
29 33 43
29 41 43
31 34 44
31 39 44
28 36 45
28 39 45
34 40 44
33 42 43
34 35 40
38 42 46
38 46 48
35 37 49
35 40 49
37 38 47
38 47 48
36 41 50
36 45 50
39 44 53
37 47 49
40 44 51
40 49 51
41 43 52
42 43 54
39 45 55
39 53 55
43 52 54
41 50 60
41 52 60
44 51 58
44 53 58
47 49 57
45 50 59
45 55 59
42 46 56
42 54 56
46 48 56
50 59 60
47 48 67
47 57 67
48 56 67
49 51 68
49 57 68
61 62 63
61 63 64
53 58 77
52 54 83
62 63 72
62 71 72
61 62 65
62 65 70
61 65 66
61 64 66
64 66 69
62 70 71
66 69 75
66 73 75
65 66 73
63 64 74
64 69 74
65 70 76
65 73 76
63 72 74
52 60 83
51 58 80
51 68 80
69 74 78
72 74 79
69 75 78
70 76 81
71 72 82
53 55 84
53 77 84
70 71 81
71 81 82
73 75 86
73 76 85
72 79 87
72 82 87
55 59 84
73 85 86
74 78 89
57 67 91
75 78 92
75 86 92
79 87 88
74 79 88
74 88 89
54 56 93
57 68 97
57 91 97
54 83 93
81 82 94
78 89 92
76 81 96
76 85 96
82 87 98
59 60 100
81 94 96
82 94 98
58 77 95
58 80 95
85 86 101
87 88 99
56 67 90
56 90 93
85 96 104
85 101 104
88 89 102
89 102 103
77 84 105
86 92 106
86 101 106
89 92 103
59 84 107
59 100 107
60 83 116
60 100 116
88 99 102
101 104 114
87 98 108
87 99 108
68 80 110
67 90 119
67 91 119
68 97 110
92 103 112
94 96 113
84 107 109
96 104 118
92 106 111
92 111 112
80 95 110
96 113 118
94 98 115
94 113 115
99 102 121
77 95 120
77 105 120
99 108 117
99 117 121
102 103 124
84 105 109
101 106 123
90 93 128
90 119 128
98 108 126
98 115 126
101 114 123
103 112 125
103 124 125
104 114 129
104 118 129
102 121 124
83 93 127
108 117 126
106 111 130
106 123 130
83 116 127
111 112 122
91 119 131
112 122 125
111 122 130
114 129 134
114 123 134
113 118 133
93 128 142
91 97 131
122 130 137
113 115 139
113 133 139
122 125 137
95 110 132
95 120 132
125 135 137
121 124 138
97 110 140
97 131 140
117 121 141
115 126 139
93 127 142
124 125 135
117 126 141
121 138 141
123 134 145
118 133 148
123 130 145
118 129 148
105 109 136
124 135 149
124 138 149
107 109 136
110 132 143
126 139 151
126 141 151
100 107 146
110 140 143
105 120 144
105 136 144
129 134 150
129 148 150
100 116 147
100 146 147
130 137 158
130 145 158
133 139 156
135 137 154
107 136 146
133 148 156
134 145 161
134 150 161
119 131 155
127 142 153
120 132 152
120 144 152
135 149 163
135 154 163
138 141 162
148 150 164
116 127 160
138 149 168
138 162 168
137 154 170
137 158 170
131 140 157
119 128 159
119 155 159
139 151 171
145 161 169
127 153 160
145 158 169
139 156 174
139 171 174
141 151 181
141 162 181
131 155 157
136 146 188
136 165 188
128 142 159
149 163 172
149 168 172
116 147 160
148 156 180
148 164 180
132 143 167
132 152 167
140 143 166
151 171 181
150 161 187
150 164 187
156 174 180
154 163 178
154 170 178
136 144 165
144 165 173
158 170 182
143 166 167
147 160 177
193 194 199
193 199 200
193 194 203
194 202 203
194 199 208
194 202 208
193 196 200
196 200 206
193 196 203
161 169 207
161 187 207
158 169 184
158 182 184
196 203 212
196 206 212
140 157 179
140 166 179
163 172 185
163 178 185
199 200 211
199 208 211
200 206 216
200 211 216
202 203 214
203 212 215
144 152 175
144 173 175
162 181 197
162 168 197
202 208 214
203 214 215
206 216 222
168 172 198
206 212 222
164 180 209
208 211 225
142 153 183
170 178 192
164 187 209
157 176 179
174 180 221
174 210 221
146 188 191
208 214 226
208 225 226
146 147 191
147 177 191
212 222 229
152 167 189
152 175 189
214 215 230
166 167 186
170 182 205
170 192 205
168 197 198
169 184 207
211 216 235
211 225 235
171 174 210
171 181 227
171 210 227
155 157 176
142 159 204
142 183 204
212 215 232
212 229 232
215 230 232
214 226 236
214 230 236
172 185 220
172 198 220
153 160 217
153 183 217
155 176 190
180 221 239
166 179 195
166 186 195
216 222 237
216 235 237
178 185 218
178 192 218
225 226 243
155 190 201
155 159 201
182 184 228
182 205 228
180 209 239
160 177 217
181 197 258
181 227 258
222 229 246
222 237 246
167 186 213
167 189 213
